Dim_Realms,V_Region
Adamantoise,Americas
Balmung,Americas
Behemoth,Americas
Brynhildr,Americas
Cactuar,Americas
Coeurl,Americas
Diabolos,Americas
Excalibur,Americas
Exodus,Americas
Faerie,Americas
Famfrit,Americas
Gilgamesh,Americas
Goblin,Americas
Halicarnassus,Americas
Hyperion,Americas
Jenova,Americas
Lamia,Americas
Leviathan,Americas
Maduin,Americas
Malboro,Americas
Marilith,Americas
Mateus,Americas
Midgardsormr,Americas
Sargatanas,Americas
Seraph,Americas
Siren,Americas
Ultros,Americas
Zalera,Americas
Alpha,Europe
Cerberus,Europe
Lich,Europe
Louisoix,Europe
Moogle,Europe
Odin,Europe
Omega,Europe
Phantom,Europe
Phoenix,Europe
Ragnarok,Europe
Raiden,Europe
Sagittarius,Europe
Shiva,Europe
Spriggan,Europe
Twintania,Europe
Zodiark,Europe
Aegis,Japan
Alexander,Japan
Anima,Japan
Asura,Japan
Atomos,Japan
Bahamut,Japan
Belias,Japan
Carbuncle,Japan
Chocobo,Japan
Durandal,Japan
Fenrir,Japan
Garuda,Japan
Gungnir,Japan
Hades,Japan
Ifrit,Japan
Ixion,Japan
Kujata,Japan
Mandragora,Japan
Masamune,Japan
Pandaemonium,Japan
Ramuh,Japan
Ridill,Japan
Shinryu,Japan
Tiamat,Japan
Titan,Japan
Tonberry,Japan
Typhon,Japan
Ultima,Japan
Unicorn,Japan
Valefor,Japan
Yojimbo,Japan
Zeromus,Japan
Bismarck,Oceania
Ravana,Oceania
Sephirot,Oceania
Sophia,Oceania
Zurvan,Oceania
